article_number,url
0,https://www.express.co.uk/life-style/health/1556891/bowel-cancer-symptoms-pooing-more-often-sign
1,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/colon-cancer-or-bowel-cancer-know-the-early-symptoms-for-timely-intervention/photostory/89252113.cms
2,https://www.pharmacytimes.com/view/study-weight-loss-reduces-risk-of-growths-linked-to-colorectal-cancer
3,https://www.usnews.com/news/health-news/articles/2022-01-31/late-stage-colon-cancers-increasing-among-young-americans
4,https://nyulangone.org/news/genetic-lifestyle-calculator-reveals-which-younger-adults-are-most-risk-colorectal-cancer
5,https://eu.usatoday.com/story/news/health/2022/01/27/colon-cancer-more-younger-adults-study/9237429002/
6,https://www.upi.com/Health_News/2022/02/01/colon-cancers-young-Americans/5161643655656/
7,https://www.health.com/condition/colorectal-cancer/late-stage-colorectal-cancer-young-adults-rise
8,https://abcnews.go.com/Health/young-people-colon-cancer-high-rates-doctors-highlight/story?id=82468484
9,https://eu.detroitnews.com/story/life/advice/2022/02/01/keith-roach-balance-age-family-history-colon-cancer-screening/49746735/
10,https://www.newswise.com/articles/international-study-of-colorectal-cancer-receives-five-year-renewal-10-million-in-new-funding-to-continue-innovative-research
11,https://www.upi.com/Health_News/2022/02/01/obese-colon-polyps-risk-study/7821643722449/
12,https://www.medicinenet.com/script/main/art.asp?articlekey=270639
13,https://www.bbc.com/news/health-60216285
14,https://www.verywellhealth.com/ulcerative-colitis-and-colon-cancer-5204560
15,https://www.digitalcameraworld.com/news/2000-patients-screened-for-bowel-cancer-with-pillcam-the-camera-you-swallow
16,https://telanganatoday.com/world-cancer-day-2022-how-a-fibre-rich-diet-can-help-prevent-colon-cancer
17,https://www.cbsnews.com/news/chemotherapy-care-box-cancer-patients-fighting-with-hope-emily-king/
18,https://www.healthleadersmedia.com/clinical-care/screening-rates-breast-cervical-and-colon-cancer-remain-below-pre-pandemic-levels
19,https://www.sandiegouniontribune.com/news/health/story/2022-01-25/treat-colon-cancer-screening-as-if-your-life-depends-on-it-it-just-might
20,https://abc7chicago.com/signs-of-colon-cancer-screening-symptoms-american-society/11469623/
21,https://www.eatthis.com/news-major-sign-cancer-doctor/
22,https://www.foxnews.com/health/distant-stage-colon-cancer-younger-adults
23,https://www.healio.com/news/hematology-oncology/20220128/weight-loss-during-systemic-therapy-linked-to-shorter-survival-in-colorectal-cancer
24,https://www.news18.com/news/lifestyle/uttarakhand-researchers-to-study-use-of-medicinal-herbs-for-treatment-of-colon-cancer-4730933.html
25,https://www.dublinlive.ie/news/dublin-news/mater-hospital-perform-major-medical-22917193
26,https://www.theguardian.com/society/2022/feb/03/cancer-england-survival-statistics-increases-nhs
27,https://www.cancernetwork.com/view/american-cancer-society-report-sheds-light-on-cancer-statistics-and-racial-ethnic-disparities